Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Roma Motor Vehicle Inspection Centre,"44 Tiffin St Services: vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,44 Tiffin Street,Roma,4455,,PO Box 645,Toowoomba,4350,-26.580916,148.798412,13 23 90,(07) 4635 5373,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are performed by Approved Inspection Stations ",,,,Opening hours by appointment only.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,r,,/transport/contacts/centres/view?title=Roma Motor Vehicle Inspection Centre
Rosewood Police Station,1 John Street:driver licence,driver licence,,1 John Street,Rosewood,4340,,1 John Street,Rosewood,4340,-27.641982,152.594,(07) 3437 2670,(07) 5464 2567,,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,,,,,,,,"####Services offered at this location#### 
* driver licensing","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,r,,/transport/contacts/centres/view?title=Rosewood Police Station
Sarina QGAP,52-54 Broad Street:registration,registration,Sarina Courthouse,52-54 Broad Street,Sarina,4737,,PO Box 462,Sarina,4737,-21.421731,149.217167,(07) 4956 1820,(07) 4943 1009,,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,9:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
* registration of vehicles and vessels
",,, Beside Sarina Primary School,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,s,,/transport/contacts/centres/view?title=Sarina QGAP
Sherwood Transport and Main Roads Customer Service Centre,"14 Primrose St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,14 Primrose Street,Sherwood,4075,,PO Box 194,Sherwood,4075,-27.532725,152.981878,13 23 80,(07) 3717 1650,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licence issuing for driver authorisations and traffic controller accreditation schemes only
*  practical driver testing for cars only","####Services not offered at this location#### 
* pre-registration inspections for trailers
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. 
* pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass.",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,s,,/transport/contacts/centres/view?title=Sherwood Transport and Main Roads Customer Service Centre
Silkwood Police Station,"Main Street:driver licence, boat licence, registration","driver licence, boat licence, registration",,Main Street,Silkwood,4856,,Main Street,Silkwood,4856,-17.746336,146.021926,(07) 4065 2200,(07) 4065 2031,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing renewals only
*  registration of vehicles and vessels",,,,, Please contact this location for operating times,,Queensland Police Station,,s,,/transport/contacts/centres/view?title=Silkwood Police Station
Southport Transport and Main Roads Customer Service Centre,"265 Nerang St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,265 Nerang Street,Southport ,4215,,PO Box 3078,Southport ,4215,-27.975624,153.392678,13 23 80,(07) 5630 8777,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicle types
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,s,,/transport/contacts/centres/view?title=Southport Transport and Main Roads Customer Service Centre
Springfield Central mobile customer service unit,NA,NA,NA,NA,NA,4300,NA,NA,NA,4300,-27.678566,152.904373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,"####Services offered at this location#### 
* registration of vehicles and vessels
*  driver licensing for cars, motorbikes, heavy vehicles and recreational vehicles
*  purchase an adult proof of age card
* pay a fine
* access industry licensing services
* ask questions about departmental services",NA,NA,NA,Please note: This is a mobile customer service centre that visits this location on selected dates. Please [check the schedule](/transport/contacts/mobile#SouthEastQueensland) before travelling here. ,NA,,Mobile customer centre,,s,,/transport/contacts/mobile#SouthEastQueensland
Springsure QGAP,"Eclipse Street:registration, pre-registration inspections","registration, pre-registration inspections",Springsure Courthouse,45 Eclipse Street,Springsure,4722,,PO Box 68,Springsure,4722,-24.115209,148.088727,(07) 4984 1433,(07) 4984 1368,,8:30-12:30,13:30-16:30,,,9:30-12:30,13:30-16:30,,,8:30-12:30,13:30-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
* registration of vehicles and vessels
*  pre-registration inspections for light vehicles and trailers over 750kg ATM",,, Centre of Main Street between local post office and state school.,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,QGAP (TMR lead),17/07/2018,s,,/transport/contacts/centres/view?title=Springsure QGAP
St George QGAP,"The Terrace: boat licence, registration, industry licensing, driver authorisation"," boat licence, registration, industry licensing, driver authorisation",St George Courthouse,St George's Terrace,St George,4487,,PO Box 266,St George,4487,-28.032999,148.583221,(07) 4625 3266,(07) 4625 3180,,8:30-12:30,14:00-16:30,8:30-12:30,14:00-16:30,9:30-12:30,14:00-16:30,8:30-12:30,14:00-16:30,8:30-12:30,14:00-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services",,,Opposite St George Bowls Club,"Please contact the centre to make sure it is staffed before travelling here. 
",,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,s,,/transport/contacts/centres/view?title=St George QGAP
St Lawrence Police Station,Maccartney St:,,,Maccartney St,St Lawrence,4707,,Maccartney St,St Lawrence,4707,-22.344775,149.528311,(07) 4956 9144,(07) 4956 9278,,,,9:00,12:00,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  registration of vehicles and vessels",,,,,,,Queensland Police Station,,s,,/transport/contacts/centres/view?title=St Lawrence Police Station
Stanthorpe QGAP,"51  Marsh Street:registration, driver licence, boat licence, practical driver tests, industry licensing, passenger transport, pre-registration insepctions","registration, driver licence, boat licence, practical driver tests, industry licensing, passenger transport, pre-registration insepctions",Court House,51  Marsh Street,Stanthorpe,4380,,PO Box 452,Stanthorpe,4380,-28.652669,151.934094,(07) 4681 4965 or 13 23 90 (for practical driving test bookings),(07) 4681 4971,,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:30-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  driver licensing
*  boat licensing
*  practical driver testing for all licence classes
*  industry licensing services
*  passenger transport
*  pre-registration inspections",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),3/02/2017,s,,/transport/contacts/centres/view?title=Stanthorpe QGAP
Stradbroke Island QGAP,"5 Ballow Road Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver licence, boat licence, registration, industry licensing, pre-registration inspections, QGAP",,5 Ballow Road,Dunwich,4183,,PO Box 42,Dunwich,4183,-27.499848,153.403454,13 74 68,(07) 3409 9431,,,,8:30-13:00,13:30-15:30,,,8:30-13:00,13:30-15:30,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass, motorcycles and trailers less than 3.5 tonne aggregate trailer mass by prior arrangement only on Tuesday and Thursday from 1:45pm to 2pm  
* practical driver testing for all licence classes except motorcycles and heavy vehicles combinations",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,s,,/transport/contacts/centres/view?title=Stradbroke Island Queensland Government Agent Program Office
Strathpine Transport and Main Roads Customer Service Centre,"43 Bells Pocket Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,43 Bells Pocket Road,Strathpine,4500,,PO Box 115,Strathpine,4500,-27.300523,152.988904,13 23 80,(07) 3881 2237,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonnes gross vehicle mass (pre-registration inspections are restricted to a maximum height of 2m) 
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location#### 
* pre-registration inspections for trailers
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,s,,/transport/contacts/centres/view?title=Strathpine Transport and Main Roads Customer Service Centre
Surat Police Station,"86 Burrowes Street:driver licensing, practical driving tests ","driver licensing, practical driving tests ",,86 Burrowes Street,Surat,4417,,PO Box 4,Surat,4417,-27.152338,149.070984,(07) 4626 5200,(07) 4626 5610,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles only",,,, All transactions are by appointment only,,,Queensland Police Station,,s,,/transport/contacts/centres/view?title=Surat Police Station
Surat QGAP,"62 Burrowes Street:registration, pre-registration vehicle inspections","registration, pre-registration vehicle inspections",,62 Burrowes Street,Surat,4417,,PO Box 42,Mitchell,4465,-27.151937,149.068165,(07) 4626 5523,(07) 4626 5256,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  pre-registration vehicle inspections",,," In the Cobb & Co Changing Station complex, opposite the New Royal Hotel, next to the Wagon Wheel Café",,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,s,,/transport/contacts/centres/view?title=Surat QGAP
Tambo Police Station,"Arthur St:driver licence, practical driver tests, registration","driver licence, practical driver tests, registration",,Arthur St,Tambo,4478,,PO Box 7,Tambo,4478,-24.885317,146.253498,(07) 4654 6222,(07) 4654 6014,,,,9:00,13:00, , ,13:00,16:00, , ,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for all licence classes up to heavy rigid
*  registration of vehicles and vessels",,,,,,,Queensland Police Station,,t,,/transport/contacts/centres/view?title=Tambo Police Station
Tannum Sands Police Station,3 Steel St:,,,3 Steel St,Tannum Sands,4680,,PO Box 3047,Tannum Sands,4680,-23.95294,151.371807,(07) 4979 9444,(07) 4973 8721,,,,,,9:00,12:00,,,,,,,,,,"####Services offered at this location
* driver licensing","####Services not offered at this location
* practical driver testing
* registration of vehicles and vessels",,,,Please contact the centre to make sure it is staffed before travelling here.,,Queensland Police Station,,t,,/transport/contacts/centres/view?title=Tannum Sands Police Station
Tara Police Station,"Cnr Sara and Bilton Streets:driver licence, practical driver tests","driver licence, practical driver tests",,Cnr Sara and Bilton Streets,Tara,4421,,PO Box 156 ,Tara,4421,-27.274094,150.457517,(07) 4665 3200,(07) 4665 3400,,8:30-13:00,14:00-15:30,8:30-13:00,14:00-15:30,8:30-13:00,14:00-15:30,8:30-13:00,14:00-15:30,8:30-13:00,14:00-15:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for all licence classes up to heavy combination (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ", Practical tests are offered every 3 weeks.,,,,,Queensland Police Station,,t,,/transport/contacts/centres/view?title=Tara Police Station
Tara QGAP,"19 Fry Street:registration, industry licensing","registration, industry licensing",,19 Fry Street,Tara,4421,,19 Fry Street,Tara,4421,-27.277117,150.459931,(07) 4665 3130,(07) 4665 3460,,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,,,"####Services offered at this location#### 
* registration of vehicle and vessels
*  industry licensing services",,, In the old Council building.,, No cashier is available after 3.417:00,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,t,,/transport/contacts/centres/view?title=Tara QGAP
Taroom QGAP,33 Yaldwyn Street:registration,registration,Taroom Courthouse,33 Yaldwyn Street,Taroom,4420,,PO Box 2,Taroom,4420,-25.64126,149.795212,(07) 4627 3106,(07) 4627 3357,,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,9:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30, 8:30-13:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
* driver licensing","####Services not offered at this location#### 
* practical driver testing
",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,t,,/transport/contacts/centres/view?title=Taroom QGAP
Tewantin Transport and Main Roads Customer Service Centre,"8 Sidoni St Services: driver license, boat license, registration, industry licensing, pre-registration inspections (except trailers)","driver licence, boat licence, registration, industry licensing, pre-registration inspections (except trailers)",,8 Sidoni Street,Tewantin,4565,,PO Box 523,Tewantin,4565,-26.3919872,153.0363372,13 23 80,(07) 5440 7250,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles (except trailers) less than 4.5 tonne gross vehicle mass
*  practical driver testing for all licence classes except motorcycles and heavy vehicle combinations","####Services not offered at this location#### 
* pre-registration inspections for trailers
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,"Tewantin Transport and Main Roads Customer Service Centre will be closed on 7 September for the local show holiday and will reopen on 10 September. The closest customer service centre is [Nambour Transport and Main Roads Customer Service Centre](https://www.qld.gov.au/transport/contacts/centres/view?title=Nambour Transport and Main Roads Customer Service Centre). Alternatively, there are a range of [online services](http://www.tmr.qld.gov.au/Online-services) available.",,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,t,,/transport/contacts/centres/view?title=Tewantin Transport and Main Roads Customer Service Centre
Texas QGAP,"32 Cadell St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver licence, boat licence, registration, industry licensing, pre-registration inspections, QGAP",,32 Cadell Street,Texas,4385,,PO Box 156,Texas,4385,-28.854048,151.169527,13 74 68,(07) 4653 1265,,,12:00-16:00,9:00-13:00,,,12:00-16:00,9:00-13:00,,,12:00-16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles
*  practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,t,,/transport/contacts/centres/view?title=Texas Queensland Government Agent Program Office
Thargomindah QGAP,"Dowling Street:driver licence, boat licence, practical driver tests, pre-registration inspections, industry licensing, passenger transport services, registration","driver licence, boat licence, practical driver tests, pre-registration inspections, industry licensing, passenger transport services, registration",,76 Dowling Street,Thargomindah,4492,,PO Box 204,Thargomindah,4492,-27.996741,143.82097,(07) 4655 3291,(07) 4655 3224,,9:00,13:00,9:00,13:00,9:00,13:00,9:00,13:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  practical driver testing for all licence classes up to HC (Heavy Combination) for residents of the Bulloo Shire only*
*  pre-registration inspections for all vehicles
*  industry licensing services
*  passenger transport services
*  registration of vehicles and vessels","####Services not offered at this location#### 
* practical driving tests for non-residents of the Bulloo Shire*",Driving tests will only be conducted for people who live or work in the Bulloo Shire on a permanent/full-time basis.,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,t,,/transport/contacts/centres/view?title=Thargomindah QGAP
Theodore Police Station,"42 The Boulevard:Driver licence, boat licence, practical driver tests, pre-registration vehicle inspections, registration","Driver licence, boat licence, practical driver tests, pre-registration vehicle inspections, registration",,42 The Boulevard,Theodore,4719,,PO Box 25,Theodore,4719,-24.94868,150.076064,(07) 4993 1222,(07) 4993 1072,,,,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  practical driver testing for all licence classes up to heavy rigid
*  pre-registration vehicle inspections
*  registration of vehicles and vessels",,, Opposite the Bullring Park,,,,Queensland Police Station,,t,,/transport/contacts/centres/view?title=Theodore Police Station
Thursday Island QGAP,"136 Douglas Street:registration, boat licence, industry licensing, passenger transport services","registration, boat licence, industry licensing, passenger transport services",,136 Douglas Street,Thursday Island,4875,,PO Box 5,Thursday Island,4875,-10.584863,142.214421,(07) 4069 1503,(07) 4069 1438,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
*  driver licensing
* registration of vehicles and vessels
*  boat licensing
*  industry licensing services
*  practical driver testing for all licence classes up to heavy rigid
*  pre-registration vehicle inspections
*  passenger transport services",,,,,,,QGAP (Other Agency),17/07/2018,t,,/transport/contacts/centres/view?title=Thursday Island QGAP
Tin Can Bay Police Station,"37 Gympie Road:driver licence, registration","driver licence, registration",,37 Gympie Road,Tin Can Bay,4580,,37 Gympie Road,Tin Can Bay,4580,-25.913528,153.005873,(07) 5486 2426,(07) 5486 4201,,,,8:30-12.00pm,13:00-15:00,8:30-12.00pm,13:00-15:00,8:30-12.00pm,13:00-15:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  registration of vehicles and vessels","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,t,,/transport/contacts/centres/view?title=Tin Can Bay Police Station
Toogoolawah QGAP,"Gardner Street:registration, ",registration,Toogoolawah Courthouse,Gardner Street North,Toogoolawah,4313,,PO Box 109,Toogoolawah,4313,-27.087874,152.380036,(07) 5423 1522,(07) 5423 1473,,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:30-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
* driver licensing
* boat licensing
* pre-registration inspections for light vehicles only",, New business registration is not offered after 16:00. On court days the office will open at 8:30am.,,, Contact this location to make sure it is staffed before travelling here. ,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,t,,/transport/contacts/centres/view?title=Toogoolawah QGAP
Toowong Transport and Main Roads Customer Service Centre,"15 Lissner Street Services:  driver licence, boat licence, registration, industry licensing,","driver licence, boat licence, registration, industry licensing,",,15 Lissner Street,Toowong,4066,,PO Box 296,Toowong,4066,-27.4842,152.9915,13 23 80,,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services ","####Services not offered at this location#### 
* pre-registration inspection ",,,,"Online service kiosks are currently available at Toowong to access transport services online. Ask our friendly staff for assistance. Parking is available under the building. 
Lift access provided. ",![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,t,,/transport/contacts/centres/view?title=Toowong Transport and Main Roads Customer Service Centre
Toowoomba Harristown Transport and Main Roads Customer Service Centre,"Cnr Yaldwyn and Warwick St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,Corner Yaldwyn Street and Warwick Street,Toowoomba,4350,,PO Box 645,Toowoomba,4350,-27.575649,151.927058,13 23 80,(07) 4617 7450,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles 
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,t,,/transport/contacts/centres/view?title=Toowoomba Harristown Transport and Main Roads Customer Service Centre
Toowoomba Transport and Main Roads Customer Service Centre,"Cnr Clopton and Phillip St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver licence, boat licence, registration, industry licensing, pre-registration inspections",,Corner Clopton Street and Phillip Street,Toowoomba,4350,,PO Box 645,Toowoomba,4350,-27.563584,151.959163,13 23 80,(07) 4639 0820,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles ","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,t,,/transport/contacts/centres/view?title=Toowoomba Transport and Main Roads Customer Service Centre
Toowoomba Harristown Motor Vehicle Inspection Centre,"Cnr Yaldwyn and Warwick St Services: vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,Corner Yaldwyn Street and Warwick Street,Toowoomba,4350,,PO Box 645,Toowoomba,4350,-27.575649,151.927058,13 23 90,(07) 4635 5373,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are provided by Approved Inspection Stations
",,,,Opening hours by appointment only.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,Motor Vehicle Inspection Centre,,t,,/transport/contacts/centres/view?title=Toowoomba Harristown Motor Vehicle Inspection Centre
Townsville Cannon Park Transport and Main Roads Customer Service Centre,"Shop 14 High Range Drive Cannon Park Centre Thuringowa Services: driver licensing, boat licensing, registration of vehicles and vessels, industry licensing services, practical driving tests for all licence classes except motorcycles","Shop 14 High Range Drive Cannon Park Centre Thuringowa Services: driver licensing, boat licensing, registration of vehicles and vessels, industry licensing services, practical driving tests for all licence classes except motorcycles","Shop 14, 31-57 High Range Drive ",Cannon Park Centre,Thuringowa,4817,,PO Box 7466,Garbutt,4814,-19.320601,146.723336,13 23 80,(07) 4758 3111,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  practical driver testing for C and LR licence classes only
*  pre-registration inspections for light vehicles and trailers less than 4.5 tonnes in fine weather only
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. 
* pre-registration inspections for trailers and vehicles over 4.5 tonnes",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,t,,/transport/contacts/centres/view?title=Townsville Cannon Park Transport and Main Roads Customer Service Centre
Townsville Garbutt Transport and Main Roads Customer Service Centre,"21-35 Leyland St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,21-35 Leyland Street,Garbutt,4814,,PO Box 7466,Garbutt,4814,-19.27184684,146.7652141,13 23 80,(07) 4758 7500,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles types 
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,t,,/transport/contacts/centres/view?title=Townsville Garbutt Transport and Main Roads Customer Service Centre
